alert_id,transaction_id,alert_type,severity,detected_at
1,69e77b14-d8c8-4fe8-9db2-ae6ad7e039b0,High Value Transaction,High,2026-01-10 17:04:22.790862
2,aa67b5af-3b76-4eee-b366-072f45012bdd,International Transaction,Medium,2026-01-10 17:04:22.790862
3,4e3c913c-2841-4357-a496-268638b8f4ca,International Transaction,Medium,2026-01-10 17:04:22.790862
4,62411562-af07-4954-89a7-749a35a83daf,International Transaction,Medium,2026-01-10 17:04:22.790862
5,22e1c0a8-5b29-479d-aebf-5f646cf5f207,International Transaction,Medium,2026-01-10 17:04:22.790862
6,262cdeca-4d78-484c-8e3b-6db3a77e8c85,International Transaction,Medium,2026-01-10 17:04:22.790862
7,8a0504dd-9295-43a9-838c-875aa3fc8e26,International Transaction,Medium,2026-01-10 17:04:22.790862
8,1a3481aa-8a1d-4587-9e1f-b5e29ec374a7,International Transaction,Medium,2026-01-10 17:04:22.790862
9,82c12261-8bf0-4a6c-8150-cf3d452d4111,International Transaction,Medium,2026-01-10 17:04:22.790862
10,24c74b8a-f9e0-4f90-a1ee-62bc263c2fda,International Transaction,Medium,2026-01-10 17:04:22.790862
11,950916a6-a260-4e52-8367-dc70f8c5ac97,International Transaction,Medium,2026-01-10 17:04:22.790862
12,70bd39e1-9eca-4fe3-9fd0-bde6cf089014,International Transaction,Medium,2026-01-10 17:04:22.790862
13,4810303e-b554-41f3-8010-31feb18db288,International Transaction,Medium,2026-01-10 17:04:22.790862
14,69b9fc10-3cf3-4ef1-a508-4b8c2cb57c5f,International Transaction,Medium,2026-01-10 17:04:22.790862
15,95dbe16a-eb62-4614-9685-f8a2693d9756,International Transaction,Medium,2026-01-10 17:04:22.790862
16,ccab971a-9480-4810-ab7a-23471699efb2,International Transaction,Medium,2026-01-10 17:04:22.790862
17,4efc5e79-aa3a-4175-87fd-2b9790a642e1,International Transaction,Medium,2026-01-10 17:04:22.790862
18,d2940a9d-003a-4956-a449-c1f710ff3c9b,International Transaction,Medium,2026-01-10 17:04:22.790862
19,e70c1e02-96b5-48a7-a551-20fe66c8555e,International Transaction,Medium,2026-01-10 17:04:22.790862
20,f08f9954-01e6-44e6-b2e1-f3f7c84eff8b,International Transaction,Medium,2026-01-10 17:04:22.790862
21,b16d793d-cde0-493d-83d1-d386a0f51d12,International Transaction,Medium,2026-01-10 17:04:22.790862
22,084fe69c-1c7b-4f9e-9a7b-290e4dab90c9,International Transaction,Medium,2026-01-10 17:04:22.790862
23,9d9c408e-2c18-42ab-bc73-e695d7f7c45b,International Transaction,Medium,2026-01-10 17:04:22.790862
24,e94fb0b2-ca4e-4bb6-b2a3-5f18dd0ea840,International Transaction,Medium,2026-01-10 17:04:22.790862
25,2f024653-312b-48d4-9fcb-7a07f9ca5c8d,International Transaction,Medium,2026-01-10 17:04:22.790862
26,1f71f56e-db4b-4a83-a696-d755e063cd19,International Transaction,Medium,2026-01-10 17:04:22.790862
27,7aeb9dc5-49f0-4414-8daf-a64a51cdf47a,International Transaction,Medium,2026-01-10 17:04:22.790862
28,79cb3770-7f97-494c-8a4e-d9138022dbdd,International Transaction,Medium,2026-01-10 17:04:22.790862
29,ceeb55a9-72fa-4f0b-8ac6-97805cbaf8de,International Transaction,Medium,2026-01-10 17:04:22.790862
30,e7028891-7833-4374-9652-66cd4d3bdd1a,International Transaction,Medium,2026-01-10 17:04:22.790862
31,649c2210-1dc5-41f2-8317-659df99d0cd0,International Transaction,Medium,2026-01-10 17:04:22.790862
32,b5f7fdd5-eb42-45e0-b093-9a953c4334cb,International Transaction,Medium,2026-01-10 17:04:22.790862
