device_id,user_id,device_type,os,last_active
82321588-0948-4752-80ed-95905f7d523d,50b3cf23-02f6-4ae2-a9a4-0be75ac12cfd,Desktop,iOS,2026-01-09 21:57:27
65b2d51c-647e-4f06-ba35-e4494136b757,50b3cf23-02f6-4ae2-a9a4-0be75ac12cfd,Mobile,MacOS,2026-01-09 21:57:14
d77386cc-bf57-4ff8-9278-576548d93901,50b3cf23-02f6-4ae2-a9a4-0be75ac12cfd,Desktop,Android,2026-01-09 21:56:51
49379832-3915-4523-b0a6-c7bf99600ba5,834b29f5-c350-426f-b493-3a864f0b9052,Mobile,Android,2026-01-09 21:56:53
b6489be7-4e3a-4cd6-8854-d9dfa7d7e3c6,834b29f5-c350-426f-b493-3a864f0b9052,Mobile,Android,2026-01-09 21:57:30
027ecbdc-5b5d-41ba-ad8e-8a5827094aae,7ab88f9e-6e51-4062-a9f8-5caf0b770624,Tablet,Android,2026-01-09 21:56:50
3f23b63e-170e-4933-ba85-50e3d48786d2,7ab88f9e-6e51-4062-a9f8-5caf0b770624,Desktop,Windows,2026-01-09 21:57:22
7cd8c91d-d5a1-414c-9387-ef0cc8d02df5,64151073-82b3-4bac-ab7e-1de1940197fe,Mobile,iOS,2026-01-09 21:56:50
f49ec1bb-dd3c-4bb6-ae48-a2a1adda3b55,64151073-82b3-4bac-ab7e-1de1940197fe,Tablet,MacOS,2026-01-09 21:57:05
d0d3a484-747a-4288-9e76-d013f24fcb40,59adac30-5510-469a-96a4-becc08b83754,Mobile,Android,2026-01-09 21:57:41
a30e93f6-3ce9-4257-9331-54a229db9032,1843b894-3327-478e-9cea-44aaa5cff7db,Mobile,iOS,2026-01-09 21:57:11
3965e70b-cac7-40b8-94c0-19832753acd7,1843b894-3327-478e-9cea-44aaa5cff7db,Mobile,Android,2026-01-09 21:57:12
c1672928-acaf-4ff6-b949-ffdaf203908a,6bb964d0-7c93-435d-a547-4f046165eb82,Desktop,iOS,2026-01-09 21:56:53
95f7ca19-ac36-484e-93ed-40a8dc029b89,6bb964d0-7c93-435d-a547-4f046165eb82,Desktop,iOS,2026-01-09 21:57:26
