transaction_id,user_id,device_id,transaction_date,amount,merchant,category,city,country,is_fraud
ae0a7168-d65e-4cd0-bcba-984b90f27da2,154fa1a2-b14a-4c48-b202-8c7e98ed5cd2,2e7601cb-c703-4631-a5be-7013c1ce9dc8,2025-04-24 22:36:32,134.42,"Garcia, Williams and Stewart",Tech,Whiteside,USA,False
a49f36e0-b992-465e-8787-b2818a26e1aa,91f79a41-7d0e-40a2-bcb0-9750d4cb448c,d79bbac6-1b77-4f21-9049-7eda1ff65a69,2025-08-11 22:09:21,185.16,"Macias, Powell and Vargas",Retail,Alberthaven,USA,False
9be6288c-122b-4194-9296-b161063d2acd,f6a7aff5-ea6d-4943-8b8a-bbda7f4f531e,e07ea786-9b70-4666-be19-c0cf8046c3a3,2025-10-13 15:55:12,236.67,Sandoval and Sons,Tech,Bradleyview,USA,False
5d800316-2314-426c-a3f4-757a9d1442fa,9aeb1120-55a4-4476-a816-974f3b2be8b6,8b2d881b-a9ae-470b-8f18-52601ba94fee,2025-01-30 04:56:13,77.73,"Fowler, Wood and Waters",Food,Mannburgh,USA,False
19d9680d-48d4-41d8-8c6b-3d631321c769,625bc18c-74df-4904-bf4c-fdd30c1bee59,eeb3b648-7077-4101-89c7-98ae1ecf08af,2025-06-29 03:36:24,15.02,Lindsey-Shaw,Travel,Stephaniehaven,USA,False
571b1841-744c-41c0-8fb5-8be9b837cc78,ee6e6f2f-fd17-4e6d-9087-102282156c3a,77e12d6d-6c5e-42a4-966b-62b41f3054d3,2025-10-15 16:47:56,255.84,Torres Inc,Tech,Richardmouth,USA,False
7be5e027-b2d0-46a4-8de4-a3d1b7de308c,37dc17ba-b88f-471e-bb85-70177fd40321,369ea93e-3557-4bba-b07e-dbef756087ea,2025-12-03 22:27:47,103.58,Walters Inc,Retail,North Frederick,USA,False
4ce92075-2a6f-48ac-8c1a-cc7b65d1a8ac,6a90e009-83ab-4f83-9bc7-ee6aaab0d989,1049cd59-d916-4d21-aa0e-2b9ca6ab0842,2025-01-31 23:19:02,278.0,Paul PLC,Tech,Stokestown,USA,False
7b4e24bd-e4f8-4d42-ae83-4e56963abd1a,1ed91cc4-b801-414b-b995-f0ad5aa0a983,3e689f42-6105-419e-b332-0cfb6d6378a8,2025-06-23 08:01:00,222.41,"Romero, Cross and Castillo",Travel,South Alexanderborough,USA,False
88a47ea9-d45f-432f-a5a7-bc0db11e3f47,4893fd5a-196a-453c-b892-97b13fd06484,d63049d1-3a81-428e-bd4e-01f7064d45d9,2025-12-29 10:16:46,148.16,"Smith, Coleman and Ferguson",Retail,Johnhaven,USA,False
